ds,target
2024-01-01,10.331391259816217
2024-01-02,11.156314642987128
2024-01-03,11.468640476682443
2024-01-04,11.357831932313944
2024-01-05,8.704018554126495
2024-01-06,8.014684027076548
2024-01-07,9.18770710432372
2024-01-08,10.359335690357039
2024-01-09,12.61438583840656
2024-01-10,13.320955516047045
2024-01-11,10.555506483216718
2024-01-12,10.456187812100733
2024-01-13,8.683946509255152
2024-01-14,8.936911611802518
2024-01-15,11.410510160847284
2024-01-16,11.193925934748297
2024-01-17,12.36433263560999
2024-01-18,11.947397844937516
2024-01-19,10.567402471321781
2024-01-20,8.501954314158189
2024-01-21,10.290927749131116
2024-01-22,10.691279271641324
2024-01-23,13.103243749623958
2024-01-24,13.29619276835842
2024-01-25,12.741721797313787
2024-01-26,10.790663284471393
2024-01-27,9.049725170636131
2024-01-28,9.244539150212503
2024-01-29,10.763747283477215
2024-01-30,11.501899212561124
2024-01-31,13.659980270340323
2024-02-01,11.919250096723683
2024-02-02,11.251231037163187
2024-02-03,9.229296191363712
2024-02-04,10.166300513698616
2024-02-05,12.349634167773203
2024-02-06,13.535194031035603
2024-02-07,13.313601811715465
2024-02-08,11.855167248112645
2024-02-09,10.62244255222916
2024-02-10,10.869710388578332
2024-02-11,11.509809689592
2024-02-12,11.879229734974016
2024-02-13,13.159415663200846
2024-02-14,14.280455278920051
2024-02-15,12.142970306072463
2024-02-16,11.61866472251038
2024-02-17,9.515170256032787
2024-02-18,10.964522617679565
2024-02-19,12.105175576808316
2024-02-20,13.56883295215808
2024-02-21,14.336286401556274
2024-02-22,13.755031026601923
2024-02-23,12.044357313418411
2024-02-24,9.885415269837809
2024-02-25,12.003045030288357
2024-02-26,12.847636794895763
2024-02-27,14.944102187522443
2024-02-28,15.381690439800005
2024-02-29,14.223740147010128
2024-03-01,13.324532538399364
2024-03-02,10.297186714251957
2024-03-03,11.729476696231089
2024-03-04,13.159512792935779
2024-03-05,14.721535548662422
2024-03-06,15.727290379557694
2024-03-07,13.952250452397887
2024-03-08,12.361664239051109
2024-03-09,12.084473845841877
2024-03-10,10.695966498032902
2024-03-11,13.62172074692558
2024-03-12,15.164845701368893
2024-03-13,16.00987436655231
2024-03-14,14.250218618634264
2024-03-15,12.981719099495821
2024-03-16,12.29592594511233
2024-03-17,11.951495427786654
2024-03-18,13.675322438216426
2024-03-19,14.677887315731326
2024-03-20,16.201159879010536
2024-03-21,14.563262985178602
2024-03-22,12.782550131722182
2024-03-23,12.16568458154043
2024-03-24,13.440835362934681
2024-03-25,13.641888588050678
2024-03-26,16.408006689930396
2024-03-27,15.847600480862445
2024-03-28,14.735333133756093
2024-03-29,12.474497143497159
2024-03-30,12.457825608758794
2024-03-31,12.994702711157489
2024-04-01,15.353025583552858
2024-04-02,15.294364115380514
2024-04-03,17.362274684627653
2024-04-04,14.923467984058108
2024-04-05,14.113003997717229
2024-04-06,13.139955564783167
2024-04-07,13.35975721631876
2024-04-08,14.42299254980955
2024-04-09,16.657267681824177
2024-04-10,17.09835446019438
2024-04-11,15.649075361313654
2024-04-12,13.801549291765397
2024-04-13,13.361711955981297
2024-04-14,13.6415429481051
2024-04-15,15.426441738311896
2024-04-16,17.43410702555589
2024-04-17,17.097398360918554
2024-04-18,16.21362918826111
2024-04-19,14.212784457088661
2024-04-20,13.649700371492045
2024-04-21,13.54457790433376
2024-04-22,16.143471497048246
2024-04-23,17.928915665161213
2024-04-24,18.49337018633889
2024-04-25,16.85532154563036
2024-04-26,15.36456344914385
2024-04-27,13.098266240023282
2024-04-28,14.901597638146354
2024-04-29,15.751987825194663
